# Data from the crude resolution GMT shoreline, borders, and rivers database
# >
NaN	NaN
20	79.1593804837
18.2830548562	79.6211184863
17.671778439	79.3607995727
16.2697795071	80.0587472343
16.5267414359	78.9054703593
14.7264820325	79.7886625467
14.043183032	79.2637521935
12.3482108797	79.5799191272
13.8063630121	79.8771648737
10.664835584	79.5466544594
13.0000762951	78.2044708934
15.3466086824	78.8505378805
15.4232089723	78.4577706569
16.5700770581	78.7162584878
17.3983367666	78.4293888762
13.5982299535	78.0567635615
13.949797818	77.7161821927
16.9915312428	77.9291981384
14.7383840696	77.6533150225
16.0997940032	77.4595254444
13.915007248	77.5242236973
15.4381628138	76.9999237049
16.9900053407	76.5961699855
19.0283054856	78.4223697261
20	78.5487144274
# >
NaN	NaN
20	80.429236286
19.6249332418	80.5055313954
19.570000763	80.1362630655
17.7376974136	80.1258869306
18.7466239414	79.7111467155
20	79.7499046311
# >
NaN	NaN
10.9950408179	78.5267414359
12.1800564584	78.2069123369
10.5098039216	78.9036392767
10.9947356374	78.5273517967
10.9950408179	78.5267414359
# >
NaN	NaN
28.8679331655	70
28.5560387579	70.1724269474
30.1823453117	70.0695811398
31.0310521096	70.3973449302
28.9723048753	70.8847180896
27.8547341115	70.4269474327
28.5539024949	70.9701686122
27.6575875486	71.1313038834
27.0911726558	70.4632639048
26.4859998474	70.3582818341
26.659952697	70.9680323491
25.1523613336	70.0653086137
25.9137865263	70.8740367742
24.6399633783	70.9921416037
23.4900434882	70
# >
NaN	NaN
20	79.7499046311
21.7117570764	79.8023956664
20.0997940032	79.452964065
23.6566720073	79.1813534752
27.0048065919	79.9433890288
26.9999237049	79.9446097505
24.8300907912	80.3462272068
23.0746929122	80.1036087587
22.7948424506	80.5046158541
22.2601663233	79.9711604486
20	80.429236286
# >
NaN	NaN
24	77.62371252
22.8567940795	78.2536049439
20.8349736782	78.1132219425
20.8798352026	77.4387731746
22.4832532235	77.6145571069
22.6764324407	77.2370489052
24.0064087892	77.62371252
24	77.62371252
# >
NaN	NaN
20.9967193103	78.2044708934
21.6931410697	78.6128023194
20.1583886473	78.4800488289
20.9915312428	78.2056916152
20.9967193103	78.2044708934
# >
NaN	NaN
27.9865720607	78.8386358434
29.6916151675	78.9076066224
27.9432364385	78.8386358434
27.9865720607	78.8386358434
# >
NaN	NaN
25.9949645228	70.9704737926
25.271076524	71.0974288548
25.9925230793	70.9704737926
25.9949645228	70.9704737926
# >
NaN	NaN
31.9948119326	80.0770580606
31.9899290455	80.0761425193
33.612573434	80.2198825055
31.9948119326	80.0770580606
# >
NaN	NaN
22.9987029831	70.2667277028
22.3337148089	70.3341725795
22.9999237049	70.2661173419
22.9987029831	70.2667277028
# >
NaN	NaN
21.9949645228	70.5871671626
23.5037766079	70.796520943
21.9925230793	70.5877775235
21.9949645228	70.5871671626
# >
NaN	NaN
22.9950408179	70.3387502861
23.5648126955	70.6213473716
22.9898527504	70.3387502861
22.9950408179	70.3387502861
# >
NaN	NaN
21.2738231479	70
21.2350652323	70.0122072175
21.2133974212	70
# >
NaN	NaN
23.3633936065	70
21.5625238422	70.3228809033
21.868314641	70
# >
NaN	NaN
20	78.5487144274
21.5313954376	78.7473868925
20	79.1593804837
# >
NaN	NaN
60	76.0447089342
56.0082398718	75.1831845579
56.963759823	74.6698710613
55.1259632258	74.2267490654
56.3912413214	74.0082398718
55.0350194553	74.1571679255
53.6925307088	73.7921721218
55.8461890593	73.6466010529
54.0737010758	73.3466086824
56.6948958572	73.245288777
56.37628748	73.7390707256
57.5988403143	73.6316472114
56.5935759518	73.8806744488
57.8750286107	73.7653162432
57.4975204089	74.1928740368
58.2549782559	73.9996948196
58.2574196994	73.9996948196
58.2186617838	74.5432211795
59.1549553674	74.4187075608
60	74.7660028992
# >
NaN	NaN
53.9974059663	70.7370107576
57.6110475319	70.7125963226
55.186083772	71.8991378653
55.0811017014	72.5775539788
56.5188067445	73.1509880217
54.8097962921	73.2565804532
53.1963073167	73.1500724804
53.6110475319	72.8891432059
52.363775082	72.7148851759
53.6586556802	72.6416418708
51.4061188678	71.8326085298
51.9099717708	71.4554055085
53.5011825742	71.5432974746
53.9861142901	70.7409781033
53.9974059663	70.7370107576
# >
NaN	NaN
46.9901579309	80.1738002594
50.9999237049	80.5488670176
50.8598458839	80.9504844739
46.9849698634	80.1738002594
46.9901579309	80.1738002594
# >
NaN	NaN
60	80.8003356985
59.6725413901	80.7908751049
59.9551384756	80.3953612573
59.9798580911	80.3987182422
60	80.4032959487
# >
NaN	NaN
56.9948882277	80.4405279622
57.8350499733	80.0914015412
59.3023575189	80.315709163
56.9823758297	80.4423590448
56.9948882277	80.4405279622
# >
NaN	NaN
52.9900053407	80.1496910048
53.3296711681	80.3904783703
52.9799343862	80.1496910048
52.9900053407	80.1496910048
# >
NaN	NaN
50.9999237049	79.9070725566
49.7517357137	79.9684138247
